"Time","Download","Upload"
"02/14/2021 00:33:50","13.30","10.18"
"02/14/2021 00:43:43","16.13","14.71"
"02/14/2021 00:48:44","5.43","10.11"
"02/14/2021 00:58:38","10.45","17.07"
"02/14/2021 01:08:33","22.17","18.43"
"02/14/2021 01:18:43","8.95","17.31"
"02/14/2021 01:28:28","69.52","18.41"
"02/14/2021 01:38:30","47.96","18.57"
"02/14/2021 01:48:22","66.08","18.55"
"02/14/2021 01:58:24","74.38","18.60"
"02/14/2021 02:08:28","73.03","18.41"
"02/14/2021 02:18:26","51.25","18.43"
"02/15/2021 09:48:34","63.15","18.42"
"02/15/2021 09:58:29","40.66","18.58"
"02/15/2021 10:08:28","40.27","18.68"
"02/15/2021 10:18:25","50.76","18.41"
"02/15/2021 10:28:33","28.93","18.54"
"02/15/2021 10:38:31","46.14","18.63"
"02/15/2021 10:48:30","45.05","18.41"
"02/15/2021 10:58:22","65.42","17.38"
"02/15/2021 11:08:25","45.51","17.04"
"02/15/2021 11:18:25","40.61","17.57"
"02/15/2021 11:28:27","43.83","17.64"
"02/15/2021 11:38:30","2.11","17.89"
"02/15/2021 11:48:31","50.46","18.68"
"02/15/2021 11:58:33","51.31","19.13"
"02/15/2021 12:08:24","52.97","18.43"
"02/15/2021 12:18:29","53.23","18.09"
"02/15/2021 12:28:30","46.83","18.43"
"02/15/2021 12:38:27","59.82","18.38"
"02/15/2021 12:48:31","60.29","18.70"
"02/15/2021 12:58:30","2.79","17.80"
"02/15/2021 13:08:27","55.22","18.38"
"02/15/2021 13:18:25","65.92","18.53"
"02/15/2021 13:28:26","71.01","18.66"
"02/15/2021 13:38:27","72.37","18.43"
"02/15/2021 13:48:31","63.61","18.79"
"02/15/2021 13:58:33","64.13","18.43"
"02/15/2021 14:08:25","63.00","18.71"
"02/15/2021 16:08:32","63.80","18.36"
"02/15/2021 16:18:23","70.58","18.14"
"02/15/2021 16:28:26","51.19","18.26"
"02/15/2021 16:38:25","62.01","18.01"
"02/15/2021 16:48:24","53.91","18.70"
"02/15/2021 16:58:28","58.50","18.87"
"02/15/2021 17:08:28","70.34","18.71"
"02/15/2021 17:18:28","44.59","18.44"
"02/15/2021 17:28:27","56.77","18.67"
"02/15/2021 17:38:24","48.33","18.27"
"02/15/2021 17:48:34","59.17","18.71"
"02/15/2021 17:58:33","47.32","18.44"
"02/15/2021 18:08:22","71.93","18.26"
"02/15/2021 18:18:27","51.82","17.24"
"02/15/2021 18:28:37","51.14","18.11"
"02/15/2021 18:38:27","70.73","18.43"
"02/15/2021 18:48:42","14.16","15.07"
"02/15/2021 18:58:32","35.51","17.67"
